"강원특별자치도","무직, 가사, 학생",626,1366,558,1317,470,1200,303,859,341,819,275,635,331,671,237,532,169,461
"강원특별자치도","기타 및 미상",215,75,214,91,244,114,477,338,618,472,989,851,843,709,888,734,980,849
"충청북도","계",3486,3331,3446,3318,3461,3287,3543,3216,3699,3510,3492,3350,3256,3157,3271,3080,3255,3133
"충청북도","관리자",245,71,198,68,296,74,263,69,264,77,264,66,253,64,230,65,233,65
"충청북도","전문가 및 관련 종사자",336,300,341,239,385,329,356,334,469,388,358,341,388,356,368,376,371,394
"충청북도","사무 종사자",332,318,326,313,315,328,322,331,343,415,310,398,281,341,320,404,406,423
"충청북도","서비스 및 판매 종사자",702,756,699,769,668,729,778,877,737,868,738,880,676,852,685,790,672,863
"충청북도","농림어업 숙련 종사자",190,46,159,39,171,36,167,40,144,50,147,33,149,38,134,43,120,37
"충청북도","기능원 및 관련 기능 종사자",331,88,298,63,279,85,463,130,409,115,463,122,391,108,377,102,415,104
"충청북도","장치,기계 조작 및 조립 종사자",266,67,249,66,264,63,201,49,231,53,188,52,168,27,152,39,145,41
"충청북도","단순노무 종사자",386,276,365,255,430,321,409,286,410,320,418,322,323,343,381,283,362,302
"충청북도","무직, 가사, 학생",602,1347,698,1446,485,1189,329,892,388,991,316,917,336,815,305,736,271,724
"충청북도","기타 및 미상",96,62,113,60,168,133,255,208,304,233,290,219,291,213,319,242,260,180
"충청남도","계",4724,4180,4682,4191,4835,4454,4842,4458,5202,4664,5003,4516,4798,4273,4527,4021,4429,4001
"충청남도","관리자",332,79,329,78,347,106,350,100,367,79,320,81,300,101,261,74,284,104
"충청남도","전문가 및 관련 종사자",426,337,469,384,486,417,498,452,552,486,427,358,457,381,413,346,460,383
"충청남도","사무 종사자",395,364,409,392,426,414,488,448,445,495,408,415,426,454,397,430,424,482
"충청남도","서비스 및 판매 종사자",901,986,933,999,887,1036,943,1155,906,1141,808,1085,751,954,690,887,677,831
"충청남도","농림어업 숙련 종사자",392,68,328,66,347,54,307,68,329,57,314,80,334,75,243,67,258,74
"충청남도","기능원 및 관련 기능 종사자",412,90,427,89,470,96,593,108,645,110,592,118,550,109,518,107,479,94
"충청남도","장치,기계 조작 및 조립 종사자",408,65,410,80,479,93,333,78,307,55,255,68,241,52,182,34,171,44
"충청남도","단순노무 종사자",526,301,515,291,491,337,536,354,536,358,451,292,444,297,370,241,334,288
"충청남도","무직, 가사, 학생",782,1798,695,1708,645,1703,488,1407,449,1330,370,1048,402,1025,318,830,292,792
"충청남도","기타 및 미상",150,92,167,104,257,198,306,288,666,553,1058,971,893,825,1135,1005,1050,909
"전라북도","계",3755,3461,3979,3618,3698,3465,3934,3655,4007,3773,3763,3518,3748,3467,3377,3176,3420,3212
"전라북도","관리자",226,55,266,90,290,100,268,65,271,90,246,75,246,67,253,79,233,58
"전라북도","전문가 및 관련 종사자",367,336,437,387,369,377,429,433,458,476,403,415,416,422,366,420,358,388
"전라북도","사무 종사자",293,321,301,299,279,300,320,367,350,411,358,444,453,536,368,424,383,481
"전라북도","서비스 및 판매 종사자",756,730,754,776,710,728,795,968,773,953,696,840,679,812,617,756,658,808
"전라북도","농림어업 숙련 종사자",303,53,336,70,267,52,317,76,259,63,269,86,270,82,232,67,239,78
"전라북도","기능원 및 관련 기능 종사자",369,62,318,72,295,55,473,91,476,103,415,103,378,64,332,75,338,83
"전라북도","장치,기계 조작 및 조립 종사자",236,25,267,22,243,18,170,20,133,18,105,9,124,10,106,13,100,7
